cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
"INDEPENDENCIA, AV. Y LA PLATA AV.",2018-08-14,9,10,3659,177,18,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,18,19,6601,72,6,
"INDEPENDENCIA, AV. Y LA PLATA AV.",2018-08-09,19,20,4387,144,0,
SIMBRON Y IRIGOYEN,2018-05-29,8,9,1162,9,5,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,15,16,2155,9,1,NO SE CONTARON COLECTIVOS POR METROBUS
SIMBRON Y VIRGILIO,2019-03-26,11,12,515,0,0,
SANTO TOME Y IRIGOYEN,2018-05-29,15,16,1009,17,9,
"DELLEPIENE, LUIS TTE GRAL. (NORTE) Y LACARRA AV.",2018-06-07,17,18,2525,33,132,
SIMBRON Y VIRGILIO,2019-03-26,18,19,669,0,0,
SENILLOSA Y CHACO,2018-08-16,18,19,675,37,1,
"AV. FOREST Y GARCIA, TEODORO",2018-06-06,17,18,2135,108,5,
"ROSARIO Y MORENO, MARIA JOSE AV.",2018-08-14,9,10,2197,330,11,
SENILLOSA Y CHACO,2018-08-16,9,10,705,48,2,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,11,12,415,1,0,
AV. EVA PERON Y AV. LACARRA,2018-03-15,17,18,4802,188,62,
NAZARRE Y CORTINA,2019-03-26,8,9,378,0,4,
