Año,Mes,Delegación,Totales por delegación por mes
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,Bahía Blanca - Bs.As.,22
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
2017,4,C. Rivadavia,54
